===========================================================
 Line      YEAR     MONTH    DAY    HOUR    MIN    TEMP       
===========================================================
259201     2021       7       1       0      0      1
259202     2021       7       1       0      1      1
259203     2021       7       1       0      2      1
259204     2021       7       1       0      3      1
259205     2021       7       1       0      4      1
259206     2021       7       1       0      5      1
259207     2021       7       1       0      6      1
259208     2021       7       1       0      7      1
259209     2021       7       1       0      8      1
259210     2021       7       1       0      9      1
259211     2021       7       1       0     10      1
259212     2021       7       1       0     11      1
259213     2021       7       1       0     12      1
259214     2021       7       1       0     13      1
259215     2021       7       1       0     14      1
259216     2021       7       1       0     15      1
259217     2021       7       1       0     16      1
259218     2021       7       1       0     17      1
259219     2021       7       1       0     18      1
259220     2021       7       1       0     19      1
259221     2021       7       1       0     20      1
259222     2021       7       1       0     21      1
259223     2021       7       1       0     22      1
259224     2021       7       1       0     23      1
259225     2021       7       1       0     24      1
259226     2021       7       1       0     25      1
259227     2021       7       1       0     26      1
259228     2021       7       1       0     27      1
259229     2021       7       1       0     28      1
259230     2021       7       1       0     29      1
259231     2021       7       1       0     30      1
259232     2021       7       1       0     31      1
259233     2021       7       1       0     32      1
259234     2021       7       1       0     33      1
259235     2021       7       1       0     34      1
259236     2021       7       1       0     35      1
259237     2021       7       1       0     36      1
259238     2021       7       1       0     37      1
259239     2021       7       1       0     38      1
259240     2021       7       1       0     39      1
259241     2021       7       1       0     40      1
259242     2021       7       1       0     41      1
259243     2021       7       1       0     42      1
259244     2021       7       1       0     43      1
259245     2021       7       1       0     44      1
259246     2021       7       1       0     45      1
259247     2021       7       1       0     46      1
259248     2021       7       1       0     47      1
259249     2021       7       1       0     48      1
259250     2021       7       1       0     49      1
259251     2021       7       1       0     50      1
259252     2021       7       1       0     51      1
259253     2021       7       1       0     52      1
259254     2021       7       1       0     53      1
259255     2021       7       1       0     54      1
259256     2021       7       1       0     55      1
259257     2021       7       1       0     56      1
259258     2021       7       1       0     57      1
259259     2021       7       1       0     58      1
259260     2021       7       1       0     59      1
259261     2021       7       1       1      0      1
259262     2021       7       1       1      1      1
259263     2021       7       1       1      2      1
259264     2021       7       1       1      3      1
259265     2021       7       1       1      4      1
259266     2021       7       1       1      5      1
259267     2021       7       1       1      6      1
259268     2021       7       1       1      7      1
259269     2021       7       1       1      8      1
259270     2021       7       1       1      9      1
259271     2021       7       1       1     10      1
259272     2021       7       1       1     11      1
259273     2021       7       1       1     12      1
259274     2021       7       1       1     13      1
259275     2021       7       1       1     14      1
259276     2021       7       1       1     15      1
259277     2021       7       1       1     16      1
259278     2021       7       1       1     17      1
259279     2021       7       1       1     18      1
259280     2021       7       1       1     19      1
259281     2021       7       1       1     20      1
259282     2021       7       1       1     21      1
259283     2021       7       1       1     22      1
259284     2021       7       1       1     23      1
259285     2021       7       1       1     24      1
259286     2021       7       1       1     25      1
259287     2021       7       1       1     26      1
259288     2021       7       1       1     27      1
259289     2021       7       1       1     28      1
259290     2021       7       1       1     29      1
259291     2021       7       1       1     30      1
259292     2021       7       1       1     31      1
259293     2021       7       1       1     32      1
259294     2021       7       1       1     33      1
259295     2021       7       1       1     34      1
259296     2021       7       1       1     35      1
259297     2021       7       1       1     36      1
259298     2021       7       1       1     37      1
259299     2021       7       1       1     38      1
259300     2021       7       1       1     39      1
259301     2021       7       1       1     40      1
259302     2021       7       1       1     41      1
259303     2021       7       1       1     42      1
259304     2021       7       1       1     43      1
259305     2021       7       1       1     44      1
259306     2021       7       1       1     45      1
259307     2021       7       1       1     46      1
259308     2021       7       1       1     47      1
259309     2021       7       1       1     48      1
259310     2021       7       1       1     49      1
259311     2021       7       1       1     50      1
259312     2021       7       1       1     51      1
259313     2021       7       1       1     52      1
259314     2021       7       1       1     53      1
259315     2021       7       1       1     54      1
259316     2021       7       1       1     55      1
259317     2021       7       1       1     56      1
259318     2021       7       1       1     57      1
259319     2021       7       1       1     58      1
259320     2021       7       1       1     59      1
259321     2021       7       1       2      0      1
259322     2021       7       1       2      1      1
259323     2021       7       1       2      2      1
259324     2021       7       1       2      3      1
259325     2021       7       1       2      4      1
259326     2021       7       1       2      5      1
259327     2021       7       1       2      6      1
259328     2021       7       1       2      7      1
259329     2021       7       1       2      8      1
259330     2021       7       1       2      9      1
259331     2021       7       1       2     10      1
259332     2021       7       1       2     11      1
259333     2021       7       1       2     12      1
259334     2021       7       1       2     13      1
259335     2021       7       1       2     14      1
259336     2021       7       1       2     15      1
259337     2021       7       1       2     16      1
259338     2021       7       1       2     17      1
259339     2021       7       1       2     18      1
259340     2021       7       1       2     19      1
259341     2021       7       1       2     20      1
259342     2021       7       1       2     21      1
259343     2021       7       1       2     22      1
259344     2021       7       1       2     23      1
259345     2021       7       1       2     24      1
259346     2021       7       1       2     25      1
259347     2021       7       1       2     26      1
259348     2021       7       1       2     27      1
259349     2021       7       1       2     28      1
259350     2021       7       1       2     29      1
259351     2021       7       1       2     30      1
259352     2021       7       1       2     31      1
259353     2021       7       1       2     32      1
259354     2021       7       1       2     33      1
259355     2021       7       1       2     34      1
259356     2021       7       1       2     35      1
259357     2021       7       1       2     36      1
259358     2021       7       1       2     37      1
259359     2021       7       1       2     38      1
259360     2021       7       1       2     39      1
259361     2021       7       1       2     40      1
259362     2021       7       1       2     41      1
259363     2021       7       1       2     42      1
259364     2021       7       1       2     43      1
259365     2021       7       1       2     44      1
259366     2021       7       1       2     45      1
259367     2021       7       1       2     46      1
259368     2021       7       1       2     47      1
259369     2021       7       1       2     48      1
259370     2021       7       1       2     49      1
259371     2021       7       1       2     50      1
259372     2021       7       1       2     51      1
259373     2021       7       1       2     52      1
259374     2021       7       1       2     53      1
259375     2021       7       1       2     54      1
259376     2021       7       1       2     55      1
259377     2021       7       1       2     56      1
259378     2021       7       1       2     57      1
259379     2021       7       1       2     58      1
259380     2021       7       1       2     59      1
259381     2021       7       1       3      0      1
259382     2021       7       1       3      1      1
259383     2021       7       1       3      2      1
259384     2021       7       1       3      3      1
259385     2021       7       1       3      4      1
259386     2021       7       1       3      5      1
259387     2021       7       1       3      6      1
259388     2021       7       1       3      7      1
259389     2021       7       1       3      8      1
259390     2021       7       1       3      9      1
259391     2021       7       1       3     10      1
259392     2021       7       1       3     11      1
259393     2021       7       1       3     12      1
259394     2021       7       1       3     13      1
259395     2021       7       1       3     14      1
259396     2021       7       1       3     15      1
259397     2021       7       1       3     16      1
259398     2021       7       1       3     17      1
259399     2021       7       1       3     18      1
259400     2021       7       1       3     19      1
259401     2021       7       1       3     20      1
259402     2021       7       1       3     21      1
259403     2021       7       1       3     22      1
259404     2021       7       1       3     23      1
259405     2021       7       1       3     24      1
259406     2021       7       1       3     25      1
259407     2021       7       1       3     26      1
259408     2021       7       1       3     27      1
259409     2021       7       1       3     28      1
259410     2021       7       1       3     29      1
259411     2021       7       1       3     30      1
259412     2021       7       1       3     31      1
259413     2021       7       1       3     32      1
259414     2021       7       1       3     33      1
259415     2021       7       1       3     34      1
259416     2021       7       1       3     35      1
259417     2021       7       1       3     36      1
259418     2021       7       1       3     37      1
259419     2021       7       1       3     38      1
259420     2021       7       1       3     39      1
259421     2021       7       1       3     40      1
259422     2021       7       1       3     41      1
259423     2021       7       1       3     42      1
259424     2021       7       1       3     43      1
259425     2021       7       1       3     44      1
259426     2021       7       1       3     45      1
259427     2021       7       1       3     46      1
259428     2021       7       1       3     47      1
259429     2021       7       1       3     48      1
259430     2021       7       1       3     49      1
259431     2021       7       1       3     50      1
259432     2021       7       1       3     51      1
259433     2021       7       1       3     52      1
259434     2021       7       1       3     53      1
259435     2021       7       1       3     54      1
259436     2021       7       1       3     55      1
259437     2021       7       1       3     56      1
259438     2021       7       1       3     57      1
259439     2021       7       1       3     58      1
259440     2021       7       1       3     59      1
259441     2021       7       1       4      0      1
259442     2021       7       1       4      1      1
259443     2021       7       1       4      2      1
259444     2021       7       1       4      3      1
259445     2021       7       1       4      4      1
259446     2021       7       1       4      5      1
259447     2021       7       1       4      6      1
259448     2021       7       1       4      7      1
259449     2021       7       1       4      8      1
259450     2021       7       1       4      9      1
259451     2021       7       1       4     10      1
259452     2021       7       1       4     11      1
259453     2021       7       1       4     12      1
259454     2021       7       1       4     13      1
259455     2021       7       1       4     14      1
259456     2021       7       1       4     15      1
259457     2021       7       1       4     16      1
259458     2021       7       1       4     17      1
259459     2021       7       1       4     18      1
259460     2021       7       1       4     19      1
259461     2021       7       1       4     20      1
259462     2021       7       1       4     21      1
259463     2021       7       1       4     22      1
259464     2021       7       1       4     23      1
259465     2021       7       1       4     24      1
259466     2021       7       1       4     25      1
259467     2021       7       1       4     26      1
259468     2021       7       1       4     27      1
259469     2021       7       1       4     28      1
259470     2021       7       1       4     29      1
259471     2021       7       1       4     30      1
259472     2021       7       1       4     31      1
259473     2021       7       1       4     32      1
259474     2021       7       1       4     33      1
259475     2021       7       1       4     34      1
259476     2021       7       1       4     35      1
259477     2021       7       1       4     36      1
259478     2021       7       1       4     37      1
259479     2021       7       1       4     38      1
259480     2021       7       1       4     39      1
259481     2021       7       1       4     40      1
259482     2021       7       1       4     41      1
259483     2021       7       1       4     42      1
259484     2021       7       1       4     43      1
259485     2021       7       1       4     44      1
259486     2021       7       1       4     45      1
259487     2021       7       1       4     46      1
259488     2021       7       1       4     47      1
259489     2021       7       1       4     48      1
259490     2021       7       1       4     49      1
259491     2021       7       1       4     50      1
259492     2021       7       1       4     51      1
259493     2021       7       1       4     52      1
259494     2021       7       1       4     53      1
259495     2021       7       1       4     54      1
259496     2021       7       1       4     55      1
259497     2021       7       1       4     56      1
259498     2021       7       1       4     57      1
259499     2021       7       1       4     58      1
259500     2021       7       1       4     59      1
259501     2021       7       1       5      0      1
259502     2021       7       1       5      1      1
259503     2021       7       1       5      2      1
259504     2021       7       1       5      3      1
259505     2021       7       1       5      4      1
259506     2021       7       1       5      5      1
259507     2021       7       1       5      6      1
259508     2021       7       1       5      7      1
259509     2021       7       1       5      8      1
259510     2021       7       1       5      9      1
259511     2021       7       1       5     10      1
259512     2021       7       1       5     11      1
259513     2021       7       1       5     12      1
259514     2021       7       1       5     13      1
259515     2021       7       1       5     14      1
259516     2021       7       1       5     15      1
259517     2021       7       1       5     16      1
259518     2021       7       1       5     17      1
259519     2021       7       1       5     18      1
259520     2021       7       1       5     19      1
259521     2021       7       1       5     20      1
259522     2021       7       1       5     21      1
259523     2021       7       1       5     22      1
259524     2021       7       1       5     23      1
259525     2021       7       1       5     24      1
259526     2021       7       1       5     25      1
259527     2021       7       1       5     26      1
259528     2021       7       1       5     27      1
259529     2021       7       1       5     28      1
259530     2021       7       1       5     29      1
259531     2021       7       1       5     30      1
259532     2021       7       1       5     31      1
259533     2021       7       1       5     32      1
259534     2021       7       1       5     33      1
259535     2021       7       1       5     34      1
259536     2021       7       1       5     35      1
259537     2021       7       1       5     36      1
259538     2021       7       1       5     37      1
259539     2021       7       1       5     38      1
259540     2021       7       1       5     39      1
259541     2021       7       1       5     40      1
259542     2021       7       1       5     41      1
259543     2021       7       1       5     42      1
259544     2021       7       1       5     43      1
259545     2021       7       1       5     44      1
259546     2021       7       1       5     45      1
259547     2021       7       1       5     46      1
259548     2021       7       1       5     47      1
259549     2021       7       1       5     48      1
259550     2021       7       1       5     49      1
259551     2021       7       1       5     50      1
259552     2021       7       1       5     51      1
259553     2021       7       1       5     52      1
259554     2021       7       1       5     53      1
259555     2021       7       1       5     54      1
259556     2021       7       1       5     55      1
259557     2021       7       1       5     56      1
259558     2021       7       1       5     57      1
259559     2021       7       1       5     58      1
